# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1317867	1319411	+	ABX29238.1			2-methylthioadenine synthetase	miaB		USA300HOU_1224	1545	514	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1319412	1319777	+							USA300HOU_1225	366		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1319412	1319777	+	ABX29239.1			hypothetical protein			USA300HOU_1225	366	121	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1319804	1320295	+							USA300HOU_1226	492		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1319804	1320295	+	ABX29240.1			hypothetical protein			USA300HOU_1226	492	163	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1320598	1323216	+					mutS1		USA300HOU_1227	2619		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1320598	1323216	+	ABX29241.1			DNA mismatch repair protein MutS	mutS1		USA300HOU_1227	2619	872	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1323229	1325238	+					mutL		USA300HOU_1228	2010		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1323229	1325238	+	ABX29242.1			DNA mismatch repair protein MutL	mutL		USA300HOU_1228	2010	669	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1325244	1325786	+					glpP		USA300HOU_1229	543		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1325244	1325786	+	ABX29243.1			glycerol uptake operon antiterminator	glpP		USA300HOU_1229	543	180	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1326251	1327069	+					glpF		USA300HOU_1230	819		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1326251	1327069	+	ABX29244.1			MIP family major intrinsic protein channel protein	glpF		USA300HOU_1230	819	272	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1327198	1328694	+					glpK		USA300HOU_1231	1497		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1327198	1328694	+	ABX29245.1			glycerol kinase	glpK		USA300HOU_1231	1497	498	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1328804	1330525	+					glpD		USA300HOU_1232	1722		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1328804	1330525	+	ABX29246.1			glycerol-3-phosphate dehydrogenase	glpD		USA300HOU_1232	1722	573	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1330675	1331589	+							USA300HOU_1233	915		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1330675	1331589	+	ABX29247.1			possible S33 family lysophophospholipase			USA300HOU_1233	915	304	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1331607	1332542	+							USA300HOU_1234	936		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1331607	1332542	+	ABX29248.1			tRNA isopentenyltransferase			USA300HOU_1234	936	311	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1332557	1332790	+					hfq		USA300HOU_1235	234		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1332557	1332790	+	ABX29249.1			host factor-I protein Hfq	hfq		USA300HOU_1235	234	77	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1333012	1333488	-					bsaA		USA300HOU_1236	477		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1333012	1333488	-	ABX29250.1			glutathione peroxidase	bsaA		USA300HOU_1236	477	158	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1333600	1334838	+							USA300HOU_1237	1239		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1333600	1334838	+	ABX29251.1			GTP-binding protein			USA300HOU_1237	1239	412	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1334857	1336095	+							USA300HOU_1238	1239		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1334857	1336095	+	ABX29252.1			possible aluminum (Al2+) resistance protein			USA300HOU_1238	1239	412	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1336338	1336706	+					glnR		USA300HOU_1239	369		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1336338	1336706	+	ABX29253.1			glutamate--ammonia ligase repressor	glnR		USA300HOU_1239	369	122	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1336725	1338065	+					glnA		USA300HOU_1240	1341		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1336725	1338065	+	ABX29254.1			glutamate--ammonia ligase	glnA		USA300HOU_1240	1341	446	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1338558	1338755	+							USA300HOU_1241	198		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1338558	1338755	+	ABX29255.1			hypothetical protein			USA300HOU_1241	198	65	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1339456	1339668	+							USA300HOU_1242	213		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1339456	1339668	+	ABX29256.1			hypothetical protein			USA300HOU_1242	213	70	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1339962	1340168	+							USA300HOU_1243	207		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1339962	1340168	+	ABX29257.1			hypothetical protein			USA300HOU_1243	207	68	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1340869	1340979	+							USA300HOU_1244	111		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1340869	1340979	+	ABX29258.1			hypothetical protein			USA300HOU_1244	111	36	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1341407	1341592	+							USA300HOU_1245	186		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1341407	1341592	+	ABX29259.1			hypothetical protein			USA300HOU_1245	186	61	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1342104	1342208	+							USA300HOU_1246	105		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1342104	1342208	+	ABX29260.1			hypothetical protein			USA300HOU_1246	105	34	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1342163	1342336	+							USA300HOU_1247	174		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1342163	1342336	+	ABX29261.1			hypothetical protein			USA300HOU_1247	174	57	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1342337	1342588	+							USA300HOU_1248	252		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1342337	1342588	+	ABX29262.1			hypothetical protein			USA300HOU_1248	252	83	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1342634	1343218	+							USA300HOU_1249	585		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1342634	1343218	+	ABX29263.1			hypothetical protein			USA300HOU_1249	585	194	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1343339	1343587	+							USA300HOU_1250	249		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1343339	1343587	+	ABX29264.1			hypothetical protein			USA300HOU_1250	249	82	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1343717	1343818	+							USA300HOU_1251	102		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1343717	1343818	+	ABX29265.1			hypothetical protein			USA300HOU_1251	102	33	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1343864	1344130	+							USA300HOU_1252	267		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1343864	1344130	+	ABX29266.1			hypothetical protein			USA300HOU_1252	267	88	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1344127	1344264	+							USA300HOU_1253	138		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1344127	1344264	+	ABX29267.1			hypothetical protein			USA300HOU_1253	138	45	
gene	pseudogene	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1344335	1344980	+							USA300HOU_1254	646		pseudo
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1344693	1344983	+							USA300HOU_1255	291		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1344693	1344983	+	ABX29268.1			hypothetical protein			USA300HOU_1255	291	96	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1344994	1345188	+							USA300HOU_1256	195		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1344994	1345188	+	ABX29269.1			hypothetical protein			USA300HOU_1256	195	64	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1345238	1345579	+							USA300HOU_1257	342		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1345238	1345579	+	ABX29270.1			hypothetical protein			USA300HOU_1257	342	113	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1345586	1345777	+							USA300HOU_1258	192		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1345586	1345777	+	ABX29271.1			hypothetical protein			USA300HOU_1258	192	63	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1345761	1345856	-							USA300HOU_1259	96		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1345761	1345856	-	ABX29272.1			hypothetical protein			USA300HOU_1259	96	31	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1346326	1347351	-							USA300HOU_1260	1026		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1346326	1347351	-	ABX29273.1			threonine aldolase			USA300HOU_1260	1026	341	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1347621	1347818	+							USA300HOU_1261	198		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1347621	1347818	+	ABX29274.1			hypothetical protein			USA300HOU_1261	198	65	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1347876	1349357	+					cls		USA300HOU_1262	1482		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1347876	1349357	+	ABX29275.1			cardiolipin synthetase	cls		USA300HOU_1262	1482	493	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1349541	1350440	+							USA300HOU_1263	900		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1349541	1350440	+	ABX29276.1			ABC superfamily ATP binding cassette transporter, ABC protein			USA300HOU_1263	900	299	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1350409	1351140	+							USA300HOU_1264	732		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1350409	1351140	+	ABX29277.1			ABC superfamily ATP binding cassette transporter, membrane protein			USA300HOU_1264	732	243	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1351144	1352235	+							USA300HOU_1265	1092		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1351144	1352235	+	ABX29278.1			sensor histidine kinase			USA300HOU_1265	1092	363	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1352232	1352834	+							USA300HOU_1266	603		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1352232	1352834	+	ABX29279.1			response regulator			USA300HOU_1266	603	200	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1352947	1353135	-							USA300HOU_1267	189		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1352947	1353135	-	ABX29280.1			hypothetical protein			USA300HOU_1267	189	62	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1353274	1353807	+					nucA		USA300HOU_1268	534		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1353274	1353807	+	ABX29281.1			micrococcal nuclease A	nucA		USA300HOU_1268	534	177	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1353950	1354804	-							USA300HOU_1269	855		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1353950	1354804	-	ABX29282.1			hypothetical protein			USA300HOU_1269	855	284	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1355135	1355710	+							USA300HOU_1270	576		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1355135	1355710	+	ABX29283.1			hypothetical protein			USA300HOU_1270	576	191	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1355764	1357146	-					lysC1		USA300HOU_1271	1383		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1355764	1357146	-	ABX29284.1			aspartate kinase	lysC1		USA300HOU_1271	1383	460	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1357152	1357259	+							USA300HOU_1272	108		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1357152	1357259	+	ABX29285.1			hypothetical protein			USA300HOU_1272	108	35	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1357337	1358617	+					thrA		USA300HOU_1273	1281		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1357337	1358617	+	ABX29286.1			homoserine dehydrogenase	thrA		USA300HOU_1273	1281	426	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1358623	1359684	+					thrC		USA300HOU_1274	1062		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1358623	1359684	+	ABX29287.1			threonine synthase	thrC		USA300HOU_1274	1062	353	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1359686	1360600	+					thrB		USA300HOU_1275	915		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1359686	1360600	+	ABX29288.1			homoserine kinase	thrB		USA300HOU_1275	915	304	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1360658	1361461	+							USA300HOU_1276	804		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1360658	1361461	+	ABX29289.1			HAD superfamily hydrolase			USA300HOU_1276	804	267	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1364040	1365461	+					katA		USA300HOU_1277	1422		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1364040	1365461	+	ABX29290.1			catalase	katA		USA300HOU_1277	1422	473	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1365543	1365701	+					rpmG2		USA300HOU_1278	159		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1365543	1365701	+	ABX29291.1			ribosomal protein L33	rpmG2		USA300HOU_1278	159	52	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1370471	1372459	+					tkt		USA300HOU_1279	1989		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1370471	1372459	+	ABX29292.1			transketolase	tkt		USA300HOU_1279	1989	662	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1372692	1372979	+							USA300HOU_1280	288		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1372692	1372979	+	ABX29293.1			hypothetical protein			USA300HOU_1280	288	95	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1374874	1377903	+					sbcC		USA300HOU_1281	3030		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1374874	1377903	+	ABX29294.1			exodeoxyribonuclease SbcC	sbcC		USA300HOU_1281	3030	1009	
gene	pseudogene	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1380615	1380743	+							USA300HOU_1282	129		pseudo
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1381078	1383783	+					acnA		USA300HOU_1283	2706		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1381078	1383783	+	ABX29295.1			aconitate hydratase	acnA		USA300HOU_1283	2706	901	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1383963	1384430	+							USA300HOU_1284	468		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1383963	1384430	+	ABX29296.1			possible thioesterase			USA300HOU_1284	468	155	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1384637	1384933	-							USA300HOU_1285	297		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1384637	1384933	-	ABX29297.1			hypothetical protein			USA300HOU_1285	297	98	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1385309	1385917	-							USA300HOU_1286	609		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1385309	1385917	-	ABX29298.1			hypothetical protein			USA300HOU_1286	609	202	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1386123	1388114	+					parE		USA300HOU_1287	1992		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1386123	1388114	+	ABX29299.1			DNA topoisomerase (ATP-hydrolyzing) ParE	parE		USA300HOU_1287	1992	663	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1388114	1390516	+					parC		USA300HOU_1288	2403		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1388114	1390516	+	ABX29300.1			DNA topoisomerase (ATP-hydrolyzing) ParC	parC		USA300HOU_1288	2403	800	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1390644	1390742	-							USA300HOU_1289	99		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1390644	1390742	-	ABX29301.1			hypothetical protein			USA300HOU_1289	99	32	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1390766	1392226	+					alsT		USA300HOU_1290	1461		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1390766	1392226	+	ABX29302.1			AGCS family alanine or glycine:sodium (Na+) symporter	alsT		USA300HOU_1290	1461	486	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1392720	1393577	+					glcT		USA300HOU_1291	858		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1392720	1393577	+	ABX29303.1			transcriptional antiterminator	glcT		USA300HOU_1291	858	285	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1393552	1393719	+							USA300HOU_1292	168		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1393552	1393719	+	ABX29304.1			hypothetical protein			USA300HOU_1292	168	55	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1393712	1394920	+							USA300HOU_1293	1209		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1393712	1394920	+	ABX29305.1			hypothetical membrane protein			USA300HOU_1293	1209	402	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1395401	1397923	+					fmtC		USA300HOU_1294	2523		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1395401	1397923	+	ABX29306.1			lysyl transferase	fmtC		USA300HOU_1294	2523	840	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1398126	1398635	-					msrA1		USA300HOU_1295	510		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1398126	1398635	-	ABX29307.1			peptide-methionine-(S)-S-oxide reductase	msrA1		USA300HOU_1295	510	169	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1398772	1399755	+					msrR		USA300HOU_1296	984		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1398772	1399755	+	ABX29308.1			transcriptional attenuator MsrR	msrR		USA300HOU_1296	984	327	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1399745	1399849	+							USA300HOU_1297	105		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1399745	1399849	+	ABX29309.1			hypothetical protein			USA300HOU_1297	105	34	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1399843	1400031	-							USA300HOU_1298	189		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1399843	1400031	-	ABX29310.1			4-oxalocrotonate tautomerase			USA300HOU_1298	189	62	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1400176	1401438	+							USA300HOU_1299	1263		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1400176	1401438	+	ABX29311.1			ImpB/MucB/SamB family DNA-damage repair protein			USA300HOU_1299	1263	420	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1401575	1402666	-					tyrA		USA300HOU_1300	1092		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1401575	1402666	-	ABX29312.1			prephenate dehydrogenase	tyrA		USA300HOU_1300	1092	363	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1402831	1403862	+							USA300HOU_1301	1032		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1402831	1403862	+	ABX29313.1			M42 family peptidase			USA300HOU_1301	1032	343	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1404354	1405760	+					trpE		USA300HOU_1302	1407		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1404354	1405760	+	ABX29314.1			anthranilate synthase alpha subunit	trpE		USA300HOU_1302	1407	468	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1405757	1406323	+					trpG		USA300HOU_1303	567		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1405757	1406323	+	ABX29315.1			anthranilate synthase component II	trpG		USA300HOU_1303	567	188	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1406320	1407327	+					trpD		USA300HOU_1304	1008		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1406320	1407327	+	ABX29316.1			anthranilate phosphoribosyltransferase	trpD		USA300HOU_1304	1008	335	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1407329	1408111	+					trpC		USA300HOU_1305	783		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1407329	1408111	+	ABX29317.1			indole-3-glycerol-phosphate synthase	trpC		USA300HOU_1305	783	260	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1408108	1408743	+					trpF		USA300HOU_1306	636		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1408108	1408743	+	ABX29318.1			phosphoribosylanthranilate isomerase	trpF		USA300HOU_1306	636	211	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1408736	1409950	+					trpB		USA300HOU_1307	1215		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1408736	1409950	+	ABX29319.1			tryptophan synthase beta subunit	trpB		USA300HOU_1307	1215	404	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1409943	1410671	+					trpA		USA300HOU_1308	729		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1409943	1410671	+	ABX29320.1			tryptophan synthase alpha subunit	trpA		USA300HOU_1308	729	242	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1410993	1412255	+					femA		USA300HOU_1309	1263		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1410993	1412255	+	ABX29321.1			methicillin resistance factor FemA	femA		USA300HOU_1309	1263	420	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1412274	1413533	+					femB		USA300HOU_1310	1260		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1412274	1413533	+	ABX29322.1			methicillin resistance factor FemB	femB		USA300HOU_1310	1260	419	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1414222	1414989	+							USA300HOU_1311	768		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1414222	1414989	+	ABX29323.1			possible hydrolase			USA300HOU_1311	768	255	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1415037	1415510	-							USA300HOU_1312	474		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1415037	1415510	-	ABX29324.1			hypothetical protein			USA300HOU_1312	474	157	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1415634	1416335	-							USA300HOU_1313	702		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1415634	1416335	-	ABX29325.1			oligopeptide ABC superfamily ATP binding cassette transporter, ABC protein			USA300HOU_1313	702	233	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1416328	1417104	-							USA300HOU_1314	777		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1416328	1417104	-	ABX29326.1			oligopeptide ABC superfamily ATP binding cassette transporter, ABC protein			USA300HOU_1314	777	258	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1417088	1417918	-							USA300HOU_1315	831		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1417088	1417918	-	ABX29327.1			oligopeptide ABC superfamily ATP binding cassette transporter, membrane protein			USA300HOU_1315	831	276	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1417911	1418864	-							USA300HOU_1316	954		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1417911	1418864	-	ABX29328.1			oligopeptide ABC superfamily ATP binding cassette transporter, membrane protein			USA300HOU_1316	954	317	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	1419201	1419545	-							USA300HOU_1317	345		
